구코드,동코드,구명,동명,동ID
11180,1118057,금천구,시흥1동,110
11180,1118058,금천구,시흥2동,111
11180,1118059,금천구,시흥3동,112
11180,1118060,금천구,시흥4동,113
11180,1118061,금천구,시흥5동,114
11190,1119054,영등포구,여의동,115
11190,1119055,영등포구,당산1동,116
11190,1119056,영등포구,당산2동,117
11190,1119061,영등포구,양평1동,118
11190,1119062,영등포구,양평2동,119
11190,1119063,영등포구,신길1동,120
11190,1119065,영등포구,신길3동,121
11190,1119066,영등포구,신길4동,122
11190,1119067,영등포구,신길5동,123
11190,1119068,영등포구,신길6동,124
11190,1119069,영등포구,신길7동,125
11190,1119070,영등포구,대림1동,126
11190,1119071,영등포구,대림2동,127
11190,1119072,영등포구,대림3동,128
11190,1119073,영등포구,영등포본동,129
11190,1119074,영등포구,영등포동,130
11190,1119075,영등포구,도림동,131
11190,1119076,영등포구,문래동,132
11200,1120052,동작구,노량진2동,133
11200,1120053,동작구,상도1동,134
11200,1120054,동작구,상도2동,135
11200,1120055,동작구,상도3동,136
11200,1120056,동작구,상도4동,137
11200,1120063,동작구,사당1동,138
11200,1120065,동작구,사당3동,139
11200,1120066,동작구,사당4동,140
11200,1120067,동작구,사당5동,141
11200,1120068,동작구,대방동,142
11200,1120069,동작구,신대방1동,143
11200,1120070,동작구,신대방2동,144
11200,1120071,동작구,흑석동,145
11200,1120072,동작구,노량진1동,146
11200,1120073,동작구,사당2동,147
11210,1121052,관악구,보라매동,148
11210,1121054,관악구,청림동,149
11210,1121057,관악구,행운동,150
11210,1121058,관악구,낙성대동,151
11210,1121061,관악구,중앙동,152
11210,1121062,관악구,인헌동,153
11210,1121063,관악구,남현동,154
11210,1121064,관악구,서원동,155
11210,1121065,관악구,신원동,156
11210,1121066,관악구,서림동,157
11210,1121068,관악구,신사동,158
11210,1121069,관악구,신림동,159
11210,1121071,관악구,난향동,160
11210,1121072,관악구,조원동,161
11210,1121073,관악구,대학동,162
11210,1121078,관악구,은천동,163
11210,1121079,관악구,성현동,164
11210,1121080,관악구,청룡동,165
11210,1121081,관악구,난곡동,166
11210,1121082,관악구,삼성동,167
11210,1121083,관악구,미성동,168
11220,1122051,서초구,서초1동,169
11220,1122052,서초구,서초2동,170
11220,1122053,서초구,서초3동,171
11220,1122054,서초구,서초4동,172
11220,1122055,서초구,잠원동,173
11220,1122056,서초구,반포본동,174
11220,1122057,서초구,반포1동,175
11220,1122058,서초구,반포2동,176
11220,1122059,서초구,반포3동,177
11220,1122060,서초구,반포4동,178
11220,1122061,서초구,방배본동,179
11220,1122062,서초구,방배1동,180
11220,1122063,서초구,방배2동,181
11220,1122064,서초구,방배3동,182
11220,1122065,서초구,방배4동,183
11220,1122066,서초구,양재1동,184
11220,1122067,서초구,양재2동,185
11220,1122068,서초구,내곡동,186
11230,1123051,강남구,신사동,187
11230,1123052,강남구,논현1동,188
11230,1123053,강남구,논현2동,189
11230,1123058,강남구,삼성1동,190
11230,1123059,강남구,삼성2동,191
11230,1123060,강남구,대치1동,192
11230,1123063,강남구,대치4동,193
11230,1123064,강남구,역삼1동,194
11230,1123065,강남구,역삼2동,195
11230,1123066,강남구,도곡1동,196
11230,1123067,강남구,도곡2동,197
11230,1123068,강남구,개포1동,198
11230,1123071,강남구,개포4동,199
11230,1123072,강남구,일원본동,200
11230,1123073,강남구,일원1동,201
11230,1123074,강남구,일원2동,202
11230,1123075,강남구,수서동,203
11230,1123076,강남구,세곡동,204
11230,1123077,강남구,압구정동,205
11230,1123078,강남구,청담동,206
11230,1123079,강남구,대치2동,207
11230,1123080,강남구,개포2동,208
11240,1124051,송파구,풍납1동,209
11240,1124052,송파구,풍납2동,210
11240,1124053,송파구,거여1동,211
11240,1124054,송파구,거여2동,212
11240,1124055,송파구,마천1동,213
11240,1124056,송파구,마천2동,214
11240,1124057,송파구,방이1동,215
11240,1124058,송파구,방이2동,216
11240,1124059,송파구,오륜동,217
11240,1124060,송파구,오금동,218
11240,1124061,송파구,송파1동,219
