게시글번호,제목,닉네임,날짜,조회수,추천수
40196,보컬 리버브?[5],김윤수 1,2018-02-06,178,0
39899,질문 있어요!?[1],생마,2018-01-23,63,0
39881,부산에 연습실 합주실 빌릴만한 곳이 있나요????[4],와사비츄츄,2018-01-22,74,1
39872,부산 버스킹에 대해 질문있습니다~!?[9],크리티컬,2018-01-22,91,0
39835,버스킹 시작할때!?[3],DJ WooGI,2018-01-21,124,0
39832,노래부를때 문제가있슴다ㅠ?[5],크우아우응,2018-01-21,166,0
39801,버스킹 1알못ㅠㅠ조금이라도 도움을 주세요!?[8],분홍빛,2018-01-19,216,1
39774,부산해운대 버스킹 관련 질문있어요!?[2],에이키치,2018-01-17,107,0
39767,그냥 큡스 & 큡스 ex 구분?[3],카일로,2018-01-17,114,0
39648,카혼 오버톤?[8],yh01122,2018-01-11,86,0
39582,버스킹 미경험자입니다?[29],최정어리,2018-01-08,266,0
39570,버스킹 신청 질문,관우,2018-01-07,93,1
39265,버스킹 자리 질문?[3],쿠누,2017-12-21,217,0
39201,버스킹 마이크 추천 좀요 ㅎㅎ?[5],래퍼 그린그레이,2017-12-18,115,0
39174,보컬 앰프 이퀄라이저 설정 어떻게 하시나요?(큐브스트리트 ex)?[2],tuna,2017-12-17,105,0
39168,오늘 친구들 앞에서 노래 부르다 문득 드는 질문입니다?[3],노가리 최성운,2017-12-17,193,0
39163,앰프 보호회로 ?? 음량/음압이 일정수준 이상으로 커지면 꺼지는 현상 ..?[4],와옹,2017-12-16,33,0
39129,버스킹 소음 문제를 한방에 해결할만한 기술...??[2],불총새,2017-12-15,175,0
39068,버스킹 하시는 분들?[6],멜로디카,2017-12-12,245,0
39067,단독(1인)버스킹과 그룹 버스킹?[6],멜로디카,2017-12-12,230,0
39061,버스킹시 마이크 관련 질문있습니다!!?[3],뒷통수,2017-12-12,103,0
39033,이 마이크들 차이가 큰가요???[6],dsd,2017-12-11,151,0
