"","code","day","p.young","p.old","weekdays"
"219",8,2018-04-09,4149.366748194,5664.84532450316,"월"
"220",8,2018-04-10,3952.70720707969,5469.33165389892,"화"
"221",8,2018-04-11,3894.15777401966,5347.75865183566,"수"
"222",8,2018-04-12,3740.79925403627,5349.45817540684,"목"
"223",8,2018-04-13,3757.31414686394,5380.95765915919,"금"
"224",8,2018-04-14,3687.15488148901,5285.44906566275,"토"
"225",8,2018-04-15,3884.9141661608,5508.03685464892,"일"
"226",8,2018-04-16,4006.97582863015,5649.80343849425,"월"
"227",8,2018-04-17,3920.7026744057,5496.02580165878,"화"
"228",8,2018-04-18,3935.80163357697,5341.32129632348,"수"
"229",8,2018-04-19,3836.26805743946,5300.88991605445,"목"
"230",8,2018-04-20,3836.06865243336,5354.80981379143,"금"
"231",8,2018-04-21,3783.94534597301,5214.67601408933,"토"
"232",8,2018-04-22,3969.21438721185,5511.40114970426,"일"
"233",8,2018-04-23,4088.07716213439,5631.66023694845,"월"
"234",8,2018-04-24,4288.12592867216,5870.01135310499,"화"
"235",8,2018-04-25,4006.09828462635,5530.30248195634,"수"
"236",8,2018-04-26,3951.72126781517,5410.26811882533,"목"
"237",8,2018-04-27,3980.19639926545,5309.21629973081,"금"
"238",8,2018-04-28,3930.20973061535,5353.78959976436,"토"
"239",8,2018-04-29,4114.53820990662,5520.00797144621,"일"
"240",8,2018-04-30,4077.68727576149,5616.30088537774,"월"
"241",9,2018-04-01,8130.1279672004,13826.1334154286,"일"
"242",9,2018-04-02,8167.25554127534,13764.2099682155,"월"
"243",9,2018-04-03,8157.90025637031,13786.7554228937,"화"
"244",9,2018-04-04,8138.87921207136,13821.8599023432,"수"
"245",9,2018-04-05,7984.32865551321,13372.9301532538,"목"
"246",9,2018-04-06,7973.97788874083,13384.2986949728,"금"
"247",9,2018-04-07,7972.49398777167,13395.1889616779,"토"
"248",9,2018-04-08,8012.77881023087,13445.1400809681,"일"
"249",9,2018-04-09,8072.42526732581,13506.1727995435,"월"
"250",9,2018-04-10,8059.23820935825,13491.5240357012,"화"
"251",9,2018-04-11,8046.34732892565,13484.6344568315,"수"
"252",9,2018-04-12,8011.02528129258,13437.1221168221,"목"
"253",9,2018-04-13,8116.5622473056,13836.2184530896,"금"
"254",9,2018-04-14,8137.17751364716,13934.0135915784,"토"
"255",9,2018-04-15,8164.39848271187,14006.84884258,"일"
"256",9,2018-04-16,8216.43230832281,13935.3109688396,"월"
"257",9,2018-04-17,8203.66917088332,14015.3451206171,"화"
"258",9,2018-04-18,8208.2197041068,13964.8922223971,"수"
"259",9,2018-04-19,8200.5646285274,13965.0495077724,"목"
"260",9,2018-04-20,8200.52468872081,13924.5773780909,"금"
"261",9,2018-04-21,8177.56897062822,13969.2199850126,"토"
"262",9,2018-04-22,8192.73705623664,13989.7762581584,"일"
"263",9,2018-04-23,8246.16166097518,13979.7272462484,"월"
"264",9,2018-04-24,8330.39731439265,14119.0511077527,"화"
"265",9,2018-04-25,8304.40893979343,14128.8406651185,"수"
"266",9,2018-04-26,8280.89551792272,14093.6515514188,"목"
"267",9,2018-04-27,8268.73624256414,14056.0755808686,"금"
"268",9,2018-04-28,8271.72582990511,14091.8445174322,"토"
"269",9,2018-04-29,8291.33921497034,14153.0611837571,"일"
"270",9,2018-04-30,8325.1272338981,14116.7048977337,"월"
"271",10,2018-04-01,57024.8675366846,53093.5362865613,"일"
"272",10,2018-04-02,53985.7007975637,50180.8898058517,"월"
"273",10,2018-04-03,55168.3125125628,51001.6914813008,"화"
"274",10,2018-04-04,56162.8989769068,51796.0644834706,"수"
"275",10,2018-04-05,56944.3866568828,52641.2155081298,"목"
